Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
49691,11413.130000000001,186648.56,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > UAT > Network,Asia Pacific (Singapore),Network,Network Address Translation (NAT) Gateway,0,43.66,523.92,USD,Number of NAT Gateways (1)
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > UAT > Server,Asia Pacific (Singapore),IIS Application,Amazon EC2 ,0,734.67,8816.04,USD,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 2), Advance EC2 instance (r7i.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > UAT > Server,Asia Pacific (Singapore),Floor Fabric,Amazon EC2 ,0,1102.01,13224.12,USD,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 3), Advance EC2 instance (r7i.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > UAT > Server,Asia Pacific (Singapore),Neon MQ,Amazon EC2 ,0,477.42,5729.04,USD,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 3), Advance EC2 instance (m7i.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > UAT > Server,Asia Pacific (Singapore),Load Balancer,Amazon EC2 ,0,159.14,1909.68,USD,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 1), Advance EC2 instance (m7i.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > UAT > Server,Asia Pacific (Singapore),PowerBI Gateway,Amazon EC2 ,0,569.11,6829.32,USD,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 1), Advance EC2 instance (c7i.2xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > UAT > Server,Asia Pacific (Singapore),AD,Amazon EC2 ,0,569.11,6829.32,USD,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 1), Advance EC2 instance (c7i.2xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > UAT > Server,Asia Pacific (Singapore),DB NeonCRM and NeonCMS,Amazon EC2 ,0,1435.47,17225.64,USD,"Tenancy (Shared Instances), Operating system (Windows Server with SQL Server Standard), Workload (Consistent, Number of instances: 1), Advance EC2 instance (r7i.2xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > UAT > Server,Asia Pacific (Singapore),Logging,Amazon EC2 ,0,367.34,4408.08,USD,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 1), Advance EC2 instance (r7i.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
LaVictoire-Playtech-Self-managed-HA_Estimate_2024 > UAT > Server,Asia Pacific (Singapore),Monitoring,Amazon EC2 ,0,159.14,1909.68,USD,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 1), Advance EC2 instance (m7i.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
